pipeline_idx,n_estimators,max_depth,rmse,mbe,elapsed_sec,train_rmse,train_mbe
2,50,3,11.10,0.60,0.03,10.40,-0.00
1,100,3,6.00,0.37,0.06,4.69,-0.00
1,50,3,6.14,0.52,0.11,5.09,-0.00
1,50,6,6.33,0.13,0.04,3.06,-0.00
1,100,6,6.59,0.16,0.10,2.31,-0.00
