model,rmse,mbe,elapsed_sec,train_rmse,train_mbe
XGBoost,1.66,-0.16,0.02,3.10,-0.00
LSTM,2.44,0.61,7.38,4.02,0.20
SARIMA,19.02,13.42,5.21,4.34,-0.25
Persistence,23.78,16.27,0.00,5.50,0.00
