pipeline_idx,order,seasonal_order,rmse,mbe,elapsed_sec,train_rmse,train_mbe
2,"(0, 0, 1)","(0, 1, 1, 24)",15.40,-0.07,7.66,11.06,-0.07
2,"(0, 0, 1)","(1, 1, 1, 24)",15.45,0.22,14.14,10.58,0.19
2,"(1, 0, 0)","(1, 1, 1, 24)",15.46,-0.18,11.21,8.05,-0.00
2,"(1, 0, 1)","(1, 1, 1, 24)",15.47,-0.19,16.43,8.04,-0.00
2,"(1, 0, 0)","(0, 1, 1, 24)",15.47,-0.27,6.21,8.20,-0.03
