pipeline_idx,hidden_size,num_layers,epochs,patience,dropout,lr,rmse,mbe,elapsed_sec,train_rmse,train_mbe
1,16,2,50,15,0.100,0.001,8.945,1.451,10.677,8.103,-0.373
1,16,4,100,15,0.100,0.001,9.244,1.759,22.112,7.750,0.263
1,16,2,100,5,0.100,0.001,9.280,4.222,5.476,8.414,-0.101
1,16,2,50,5,0.100,0.001,9.388,3.430,2.777,8.922,0.665
1,16,2,100,15,0.100,0.001,9.431,2.734,13.608,7.833,0.145
