pipeline_idx,n_estimators,max_depth,rmse,mbe,elapsed_sec,train_rmse,train_mbe
2,100,3,7.60,1.21,0.08,6.87,0.00
2,50,3,7.64,1.84,0.04,7.67,-0.00
1,50,3,7.90,2.57,0.11,7.06,-0.00
2,50,6,7.97,0.76,0.09,4.40,-0.00
1,100,3,8.04,2.23,0.06,6.27,0.00
