pipeline_idx,order,seasonal_order,rmse,mbe,elapsed_sec,train_rmse,train_mbe
1,"(1, 0, 1)","(1, 1, 1, 24)",10.06,3.49,12.61,4.37,-0.51
2,"(1, 0, 0)","(0, 1, 1, 24)",9.95,3.73,6.52,4.34,-0.25
2,"(1, 0, 1)","(0, 1, 1, 24)",9.95,3.73,7.89,4.34,-0.25
2,"(1, 0, 0)","(1, 1, 1, 24)",9.95,3.73,12.32,4.34,-0.25
2,"(1, 0, 1)","(1, 1, 1, 24)",9.95,3.73,15.63,4.34,-0.25
