pipeline_idx,hidden_size,num_layers,epochs,patience,dropout,lr,rmse,mbe,elapsed_sec,train_rmse,train_mbe
1,32,2,50,5,0.100,0.001,7.404,-0.169,4.347,6.353,-0.681
1,16,2,100,5,0.100,0.001,7.450,0.952,4.590,6.719,-0.183
1,32,2,100,15,0.100,0.001,7.488,0.028,9.173,5.590,0.238
1,16,4,50,15,0.100,0.001,7.507,0.972,17.586,5.945,-0.189
1,16,4,100,5,0.100,0.001,7.584,1.162,5.920,7.371,0.054
